countryiso3code,country,indicator_id,indicator_name,year,value
ABW,Aruba,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,30082.1584226798
ABW,Aruba,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,30645.8906024548
ABW,Aruba,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,22759.8071750722
ABW,Aruba,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,26749.3296093118
ABW,Aruba,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,30975.9989121779
ABW,Aruba,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,35718.7531191634
ABW,Aruba,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,75.88
ABW,Aruba,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,76.019
ABW,Aruba,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2020,75.406
ABW,Aruba,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2021,73.655
ABW,Aruba,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2022,76.226
ABW,Aruba,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2023,76.353
ABW,Aruba,SP.POP.TOTL,"Population, total",2018,108908.0
ABW,Aruba,SP.POP.TOTL,"Population, total",2019,109203.0
ABW,Aruba,SP.POP.TOTL,"Population, total",2020,108587.0
ABW,Aruba,SP.POP.TOTL,"Population, total",2021,107700.0
ABW,Aruba,SP.POP.TOTL,"Population, total",2022,107310.0
ABW,Aruba,SP.POP.TOTL,"Population, total",2023,107359.0
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,1552.07372194919
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,1507.08559963484
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,1351.59166910879
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,1562.41617477738
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,1679.32762166466
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,1571.44918918981
AFE,Africa Eastern and Southern,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,63.3306913582336
AFE,Africa Eastern and Southern,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,63.8572612837043
AFE,Africa Eastern and Southern,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2020,63.7664840026943
AFE,Africa Eastern and Southern,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2021,62.9799991857494
AFE,Africa Eastern and Southern,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2022,64.4870195456608
AFE,Africa Eastern and Southern,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2023,65.1461543479959
AFE,Africa Eastern and Southern,SP.POP.TOTL,"Population, total",2018,657801085.0
AFE,Africa Eastern and Southern,SP.POP.TOTL,"Population, total",2019,675950189.0
AFE,Africa Eastern and Southern,SP.POP.TOTL,"Population, total",2020,694446100.0
AFE,Africa Eastern and Southern,SP.POP.TOTL,"Population, total",2021,713090928.0
AFE,Africa Eastern and Southern,SP.POP.TOTL,"Population, total",2022,731821393.0
AFE,Africa Eastern and Southern,SP.POP.TOTL,"Population, total",2023,750491370.0
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,491.337221382603
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,496.6025042585
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,510.787063366811
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,356.496214115892
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,357.261152798144
AFG,Afghanistan,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,413.757894705303
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2018,62.443
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2019,62.941
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2020,61.454
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2021,60.417
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2022,65.617
AFG,Afghanistan,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",2023,66.035
AFG,Afghanistan,SP.POP.TOTL,"Population, total",2018,36743039.0
AFG,Afghanistan,SP.POP.TOTL,"Population, total",2019,37856121.0
AFG,Afghanistan,SP.POP.TOTL,"Population, total",2020,39068979.0
AFG,Afghanistan,SP.POP.TOTL,"Population, total",2021,40000412.0
AFG,Afghanistan,SP.POP.TOTL,"Population, total",2022,40578842.0
AFG,Afghanistan,SP.POP.TOTL,"Population, total",2023,41454761.0
AFW,Africa Western and Central,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,1720.14009242722
AFW,Africa Western and Central,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,2216.38505520833
AFW,Africa Western and Central,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,2030.86165860293
AFW,Africa Western and Central,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,2112.79407637079
